topic,length_chars,length_words,quality_score,sentiment,source_detail,plagiarism_score,notes,text_cleaned,text_cleaned_lower,ai_pattern_count,text_cleaned_lem,creation_year,creation_month,creation_dayofweek,label_encoded,avg_word_length,lexical_diversity,punctuation_density,exclamation_count,question_count,hedge_words_count,intensifier_count,first_person_count,sentence_count,type_token_ratio,avg_sentence_length,readability_score,grade_level,entity_density,person_entity_count,org_entity_count,location_entity_count,total_entities,passive_voice_ratio,unique_bigram_ratio,sentence_length_variability,contraction_density,leakage_flag
Food,126,22.0,2.37,0.44,Author_50,0.045,personal_tone,"food, I believe privacy concerns remain a top challenge. I would love to hear others thoughts on this.","food, i believe privacy concerns remain a top challenge. i would love to hear others thoughts on this.",0,"food , believe privacy concern remain challenge . love hear thought .",2023,12,1,0,4.722222222222222,0.9444444444444444,0.05555555555555555,0.0,0.0,0.0,0.0,2.0,2.0,0.9444444444444444,11.0,80.20000000000003,4.308888888888891,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
Travel,141,19.0,3.44,0.6,Gpt-5-Base,0.007,no_tone,travel is associated with privacy concerns remain a top challenge. will shape future developments.,travel is associated with privacy concerns remain a top challenge. will shape future developments.,1,travel associate privacy concern remain challenge . shape future development .,2024,4,0,1,6.071428571428571,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.5,30.53000000000003,10.740000000000002,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,1.0,3.0,0.0,True
Education,112,17.0,3.16,-0.43,Author_33,0.163,personal_tone,education in my daytoday life and found that the results are promising but preliminary.,education in my daytoday life and found that the results are promising but preliminary.,0,education daytoday life find result promise preliminary .,2025,8,3,0,5.285714285714286,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17.0,35.5107142857143,11.784285714285716,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,1.0,0.0,0.0,False
Sports,101,14.0,3.32,0.44,Claude-2,0.122,no_tone,sports is associated with costs can vary greatly depending on implementation.,sports is associated with costs can vary greatly depending on implementation.,1,sport associate cost vary greatly depend implementation .,2023,10,0,1,6.090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,18.77909090909094,13.372727272727271,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,1.0,0.0,0.0,False
Finance,78,14.0,3.52,-0.31,Author_87,0.105,no_tone,", finance often leads to users report a mixed set of outcomes.",", finance often leads to users report a mixed set of outcomes.",0,", finance lead user report mixed set outcome .",2024,11,3,0,4.25,1.0,0.08333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,1.0,14.0,72.61545454545457,5.863636363636363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
Education,93,13.0,3.42,0.87,Gpt-4O-Mini,0.106,no_tone,education is associated with privacy concerns remain a top challenge.,education is associated with privacy concerns remain a top challenge.,1,education associate privacy concern remain challenge .,2024,8,6,1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,10.564999999999998,14.270000000000007,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,True
Sports,126,19.0,4.22,0.12,Gpt-4O-Mini,0.002,no_tone,sports shows it requires more data for conclusive evidence. Implementation details matter a lot here.,sports shows it requires more data for conclusive evidence. implementation details matter a lot here.,1,sport show require datum conclusive evidence . implementation detail matter lot .,2023,8,1,1,5.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.5,41.30250000000001,9.361666666666668,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,True
Science,151,22.0,4.91,-0.2,Llama-3-Small,0.065,no_tone,science and highlights that costs can vary greatly depending on implementation. This could change as new data becomes available.,science and highlights that costs can vary greatly depending on implementation. this could change as new data becomes available.,1,science highlight cost vary greatly depend implementation . change new datum available .,2023,4,5,1,5.7894736842105265,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,11.0,45.80302631578948,9.230789473684215,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,1.0,1.5,0.0,True
Education,202,30.5,2.65,0.23,Author_73,0.07,personal_tone,education in my daytoday life and found that privacy concerns remain a top challenge. it requires more data for conclusive evidence it requires more data for conclusive evidence,education in my daytoday life and found that privacy concerns remain a top challenge. it requires more data for conclusive evidence it requires more data for conclusive evidence,0,education daytoday life find privacy concern remain challenge . require datum conclusive evidence require datum conclusive evidence,2023,1,0,0,5.357142857142857,0.75,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.75,15.25,35.5107142857143,11.784285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,True
Science,86,12.0,3.54,-0.45,Llama-3-Small,0.061,no_tone,Researchstyle summary on science suggests it can be optimized with simple heuristics.,researchstyle summary on science suggests it can be optimized with simple heuristics.,0,researchstyle summary science suggest optimize simple heuristic .,2024,5,3,1,6.166666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,32.504999999999995,11.706666666666667,0.08333333333333333,1.0,0.0,0.0,1.0,0.08333333333333333,1.0,0.0,0.0,False
